ID,ประเภท,คำถาม,คาดหวัง,พบจริง,Precision,Recall,F1-Score,RT Avg (ms),RT Min (ms),RT Max (ms),RT Median (ms)
1,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'ข้าว' ในชื่อ,4,4,1.0,1.0,1.0,17.01,12.41,29.68,14.49
2,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'ปลาร้า' ในชื่อ,3,3,1.0,1.0,1.0,12.07,9.57,14.18,12.14
3,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'กุนเชียง' ในชื่อ,2,2,1.0,1.0,1.0,9.91,8.41,11.26,9.87
4,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'คุกกี้' ในชื่อ,2,2,1.0,1.0,1.0,24.24,8.62,56.9,15.81
5,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'อินทรีย์' ในชื่อหรือคำอธิบาย,4,4,1.0,1.0,1.0,11.12,9.01,12.39,11.09
6,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'หมู' ในชื่อ,1,1,1.0,1.0,1.0,11.68,9.46,16.67,10.95
7,basic,ค้นหาผลิตภัณฑ์ในหมวดแปรรูปเนื้อสัตว์,5,5,1.0,1.0,1.0,10.18,8.14,14.57,9.14
8,basic,ค้นหาผลิตภัณฑ์ในหมวดเครื่องปรุงรส,4,4,1.0,1.0,1.0,9.63,7.23,13.02,9.86
9,basic,ค้นหาผลิตภัณฑ์ในหมวดขนม/ของว่าง,4,4,1.0,1.0,1.0,9.72,8.17,11.02,10.42
10,basic,ค้นหาผลิตภัณฑ์ที่มีคำว่า 'ไข่' ในชื่อ,1,1,1.0,1.0,1.0,11.18,8.48,18.14,10.27
11,semantic,อยากได้อาหารเพื่อสุขภาพ,7,7,1.0,1.0,1.0,9.24,7.48,11.56,8.92
12,semantic,หาของฝากจากสกลนคร,15,15,1.0,1.0,1.0,12.54,10.51,15.31,12.52
13,semantic,ผลิตภัณฑ์ที่ซื้อออนไลน์ได้,2,2,1.0,1.0,1.0,12.32,9.19,20.33,9.98
14,semantic,ผลิตภัณฑ์ราคาถูกไม่เกิน 50 บาท,14,14,1.0,1.0,1.0,13.62,11.68,17.66,12.1
15,semantic,ผลิตภัณฑ์จากข้าว,3,3,1.0,1.0,1.0,9.28,8.08,10.3,9.22
16,semantic,อาหารหมักดอง,3,3,1.0,1.0,1.0,8.95,6.44,11.79,7.66
17,semantic,ผลิตภัณฑ์จากแมลง โปรตีนสูง,1,1,1.0,1.0,1.0,14.92,7.37,26.81,8.52
18,semantic,ผลิตภัณฑ์เครื่องปรุงรส น้ำพริก,4,4,1.0,1.0,1.0,6.1,5.42,8.23,5.62
19,semantic,ผลิตภัณฑ์จากอำเภอวานรนิวาส,2,2,1.0,1.0,1.0,5.2,5.06,5.49,5.1
20,semantic,ผลิตภัณฑ์ราคาสูง พรีเมียม 100 บาทขึ้นไป,8,8,1.0,1.0,1.0,7.12,5.88,8.96,6.56

=== สรุปผลรวม ===
รวม,,จำนวน 20 queries,,,1.0,1.0,1.0,11.3,,,
ค้นหาพื้นฐาน,,จำนวน 10 queries,,,1.0,1.0,1.0,12.67,,,
ค้นหาเชิงความหมาย,,จำนวน 10 queries,,,1.0,1.0,1.0,9.93,,,
